C,train_accuracy,test_accuracy,train_F1_score,test_F1_score
0.0001,0.62,0.6442382057231245,0.759493670886076,0.778633301251203
0.001,0.6766666666666666,0.6496519721577726,0.7858719646799116,0.7715582450832073
0.01,0.7266666666666667,0.6952822892498066,0.8066037735849056,0.7823204419889502
0.1,0.7533333333333333,0.7238979118329466,0.8195121951219514,0.7963491158014832
10.0,0.76,0.7432327919566899,0.8172588832487311,0.8074245939675174
100.0,0.7633333333333333,0.7463263727764888,0.8193384223918575,0.8093023255813954
1000.0,0.76,0.7432327919566899,0.8163265306122449,0.8067520372526195
10000.0,0.76,0.7432327919566899,0.8163265306122449,0.8067520372526195
100000.0,0.7566666666666667,0.7432327919566899,0.8142493638676844,0.8069767441860466
1000000.0,0.76,0.7432327919566899,0.8163265306122449,0.8067520372526195
10000000.0,0.76,0.7432327919566899,0.8163265306122449,0.8067520372526195
