solver,train_accuracy,test_accuracy,train_F1_score,test_F1_score
liblinear,0.7633333333333333,0.7463263727764888,0.8193384223918575,0.8093023255813954
newton-cg,0.76,0.7440061871616396,0.8163265306122449,0.8074461896451425
lbfgs,0.76,0.7424593967517401,0.8163265306122449,0.806282722513089
sag,0.73,0.7053364269141531,0.8029197080291971,0.7846240814019219
saga,0.7166666666666667,0.6906419180201083,0.7971360381861575,0.7777777777777778
