polynomial_degree,train_accuracy,test_accuracy,train_F1_score,test_F1_score
1.0,0.76,0.7432327919566899,0.8163265306122449,0.8067520372526195
2.0,0.7733333333333333,0.7463263727764888,0.826530612244898,0.8088578088578088
3.0,0.7933333333333333,0.7254447022428461,0.8434343434343435,0.7972587093089663
4.0,0.7833333333333333,0.7238979118329466,0.8387096774193549,0.8011142061281338
5.0,0.74,0.7107501933488012,0.8142857142857142,0.7973997833152763
6.0,0.73,0.7076566125290024,0.8066825775656324,0.7952329360780065
