regularizer,intercept,atribut_0,atribut_1,atribut_2,atribut_3,atribut_4,atribut_5,atribut_6,atribut_7,atribut_8,atribut_9,atribut_10,atribut_11
elasticnet,-0.17155773419589157,-0.14136304211475034,-0.44861576799250796,0.10633629120568135,0.02402574098890893,-0.04111863642614291,0.017566284439934726,-0.009151238477444628,-0.1547863899446407,-0.5857393791698364,0.04719263349167102,0.42189366633850717,-0.3343583495304024
l1,-0.14524949481892085,-0.1422835457445882,-0.41810219873640175,0.10257338761150972,0.023305384740480228,-0.0367820774972178,0.017146089289774492,-0.008810192839016063,-0.1511644509407,-0.5665226003806001,0.0438339319815614,0.4093489329813045,-0.31510262676060335
l2,-0.2072730625505796,-0.16536394646005123,-0.4854205081295212,0.1300522124322214,0.027017777467107033,-0.05404153833582182,0.020467835379487175,-0.01043846175641872,-0.18636384498279257,-0.6153023926348922,0.05673032652486548,0.46050368853727525,-0.3663420019600274
none,-0.25319818340805406,-0.18605854487719312,-0.6598899237393339,0.1770381186404756,0.03378907029210167,-0.07291931128059236,0.020774461908358955,-0.011443359052171644,-0.25495436918027414,-0.8395886518161705,0.0815623172784015,0.569184438903583,-0.48451667750194555
