regularizer,intercept,atribut_0,atribut_1,atribut_2,atribut_3,atribut_4,atribut_5,atribut_6,atribut_7,atribut_8,atribut_9,atribut_10,atribut_11
elasticnet,0.2556400904660414,0.08649658130793793,0.2989745398877038,0.08881780276150668,0.015171242554155303,0.03606774631323455,0.007208195068363201,0.004108086210762665,0.1287488500837842,0.37701320501374935,0.04033563970566429,0.2343844634551128,0.21817978704735552
l1,0.2453144890601832,0.08816761426406637,0.3205351248623984,0.08767341047264904,0.01521268155009794,0.038432325786535056,0.007260417097404814,0.004275639626044734,0.12706259042934268,0.3831079605068864,0.040970732839623554,0.24231486303394248,0.22813331100890322
l2,0.09426671697191086,0.057315965150867766,0.2702764558067001,0.07304767733298552,0.011872513593888539,0.029385755007974745,0.0004450283318136998,0.001762262003326862,0.10600021651600261,0.3480477993795137,0.03669666120770736,0.1832748370708049,0.18858101657767964
none,,,,,,,,,,,,,
