solver,penalty,C,l1_ratio,sample_size,train_accuracy,test_accuracy,train_F1_score,test_F1_score
newton-cg,none,,,0.4,0.76,0.7424593967517401,0.8153846153846153,0.8046920821114371
newton-cg,none,,,0.6,0.7633333333333333,0.737045630317092,0.8211586901763225,0.8036951501154734
newton-cg,none,,,0.8,0.76,0.7354988399071926,0.8181818181818181,0.8020833333333334
newton-cg,none,,,1.0,0.7566666666666667,0.7385924207269915,0.8142493638676844,0.8039443155452436
lbfgs,none,,,0.4,0.76,0.7393658159319412,0.8153846153846153,0.8023460410557185
lbfgs,none,,,0.6,0.76,0.7385924207269915,0.8190954773869347,0.8043981481481481
lbfgs,none,,,0.8,0.7666666666666667,0.7409126063418406,0.8232323232323233,0.8057971014492754
lbfgs,none,,,1.0,0.76,0.7440061871616396,0.8163265306122449,0.8072218986604544
sag,none,,,0.4,0.7033333333333334,0.6844547563805105,0.784503631961259,0.7694915254237289
sag,none,,,0.6,0.7266666666666667,0.6945088940448569,0.8019323671497585,0.7796988287785833
sag,none,,,0.8,0.72,0.699922660479505,0.7980769230769231,0.7827547592385218
sag,none,,,1.0,0.73,0.7053364269141531,0.8029197080291971,0.7846240814019219
saga,none,,,0.4,0.6866666666666666,0.6682134570765661,0.7772511848341233,0.7638965327462851
saga,none,,,0.6,0.6866666666666666,0.671307037896365,0.779342723004695,0.7688961392060902
saga,none,,,0.8,0.7033333333333334,0.6844547563805105,0.7905882352941176,0.7758241758241758
saga,none,,,1.0,0.7166666666666667,0.6906419180201083,0.7971360381861575,0.7777777777777778
liblinear,l1,0.0001,,0.4,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
liblinear,l1,0.0001,,0.6,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
liblinear,l1,0.0001,,0.8,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
liblinear,l1,0.0001,,1.0,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
liblinear,l1,0.001,,0.4,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
liblinear,l1,0.001,,0.6,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
liblinear,l1,0.001,,0.8,0.6166666666666667,0.6450116009280742,0.761904761904762,0.7835926449787837
liblinear,l1,0.001,,1.0,0.62,0.6442382057231245,0.7625,0.78240302743614
liblinear,l1,0.01,,0.4,0.66,0.6411446249033256,0.7743362831858407,0.7649442755825735
liblinear,l1,0.01,,0.6,0.6566666666666666,0.6434648105181748,0.771618625277162,0.7682252388134742
liblinear,l1,0.01,,0.8,0.67,0.6403712296983759,0.7785234899328858,0.7606793618116315
liblinear,l1,0.01,,1.0,0.7033333333333334,0.6620262954369683,0.7963386727688787,0.7676767676767676
liblinear,l1,0.1,,0.4,0.7433333333333333,0.7215777262180975,0.8089330024813897,0.7911832946635732
liblinear,l1,0.1,,0.6,0.7466666666666667,0.7223511214230471,0.8146341463414635,0.7961385576377059
liblinear,l1,0.1,,0.8,0.75,0.7269914926527455,0.8175182481751824,0.7995457126632595
liblinear,l1,0.1,,1.0,0.7666666666666667,0.731631863882444,0.8275862068965518,0.8013737836290785
liblinear,l1,10.0,,0.4,0.7533333333333333,0.7393658159319412,0.8112244897959183,0.8023460410557185
liblinear,l1,10.0,,0.6,0.7666666666666667,0.737045630317092,0.8249999999999998,0.8032407407407407
liblinear,l1,10.0,,0.8,0.7633333333333333,0.7416860015467904,0.8211586901763225,0.8062645011600927
liblinear,l1,10.0,,1.0,0.7633333333333333,0.7447795823665894,0.8184143222506394,0.8083623693379791
liblinear,l1,100.0,,0.4,0.7566666666666667,0.740139211136891,0.8132992327365728,0.8030480656506447
liblinear,l1,100.0,,0.6,0.77,0.7362722351121423,0.8270676691729323,0.8027761711972239
liblinear,l1,100.0,,0.8,0.76,0.740139211136891,0.8200000000000001,0.8048780487804879
liblinear,l1,100.0,,1.0,0.7633333333333333,0.7447795823665894,0.8184143222506394,0.8083623693379791
liblinear,l1,1000.0,,0.4,0.7566666666666667,0.740139211136891,0.8132992327365728,0.8030480656506447
liblinear,l1,1000.0,,0.6,0.7633333333333333,0.7385924207269915,0.8211586901763225,0.8046242774566473
liblinear,l1,1000.0,,0.8,0.7633333333333333,0.7416860015467904,0.8202531645569621,0.8062645011600927
liblinear,l1,1000.0,,1.0,0.76,0.7440061871616396,0.8163265306122449,0.8078932095182821
liblinear,l1,10000.0,,0.4,0.7566666666666667,0.740139211136891,0.8132992327365728,0.8030480656506447
liblinear,l1,10000.0,,0.6,0.77,0.737045630317092,0.8270676691729323,0.8032407407407407
liblinear,l1,10000.0,,0.8,0.7633333333333333,0.7409126063418406,0.8220551378446115,0.8055716773070226
liblinear,l1,10000.0,,1.0,0.7633333333333333,0.7447795823665894,0.8184143222506394,0.8083623693379791
saga,l1,0.0001,,0.4,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
saga,l1,0.0001,,0.6,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
saga,l1,0.0001,,0.8,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
saga,l1,0.0001,,1.0,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
saga,l1,0.001,,0.4,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
saga,l1,0.001,,0.6,0.6133333333333333,0.642691415313225,0.7603305785123966,0.7824858757062146
saga,l1,0.001,,0.8,0.6166666666666667,0.6450116009280742,0.761904761904762,0.7835926449787837
